UNICA ATACADISTA DE TINTAS

COMPRAS POR FORNECEDOR - ANALÍTICO 17/07/2026 16:36

Gerar por data de : EMISSÃO
Data Inicial : 01/01/2026
Data Final : 30/06/2026
Número do documento de Entrada : TODOS
Espécie do documento de Entrada : TODOS
Série do documento de Entrada : TODOS
Empresa : 009-UNICA ATACADISTA DE TINTAS
Item : TODOS
Descrição do item : TODOS
Fornecedor : TODOS
Marca : TODOS
Linha / Grupo : TODOS
Departamento : TODOS
Grupo de produtos : TODOS
Grupo de compra : TODOS
Unidade : TODOS
Acordo de Objetivos : NÃO
Exibir quantidade convertida em embalagens : NÃO
Destino : CSV

DOCUMENTO;FORNECEDOR;DATA;CÓDIGO;DESCRIÇÃO DO ITEM;REFERÊNCIA;MARCA;UNID;VR. UNIT.;QUANTID.;LITR./QUILOS;TOT. PROD.;VR. IPI;VR. SUBST.;VR. FRETE;DES. ACE.;OUT.DES;VR.ICMS;DESC. ESP;VR. CONTÁBIL
"000001016746-NF-009";"00000008 - PINCEIS ATLAS S.A.";07/02/2026;"030028.84422";"ROLO LA SINTETICA RESIMAX 9CM 339/9A ATLAS";"";"ATLAS";"UN";6,87;72,00;0,00;494,64;0,00;0,00;0,00;0,00;0,00;34,62;0,00;494,64
"000001016746-NF-009";"00000008 - PINCEIS ATLAS S.A.";07/02/2026;"030028.85224";"ROLO MICROFIBRA RENDEPLUS 23CM 327/19 ATLAS";"";"ATLAS";"UN";8,98;120,00;0,00;1.077,60;0,00;0,00;0,00;0,00;0,00;75,43;0,00;1.077,60
"000001016746-NF-009";"00000008 - PINCEIS ATLAS S.A.";07/02/2026;"030028.85057";"ROLO POLIAMIDA ANTIGOTA 9CM 321/9 ATLAS";"";"ATLAS";"UN";7,74;72,00;0,00;557,28;0,00;0,00;0,00;0,00;0,00;39,01;0,00;557,28
"000001016746-NF-009";"00000008 - PINCEIS ATLAS S.A.";07/02/2026;"030028.84704";"ROLO TEXTURA MEDIA 23CM 110/65 ATLAS";"";"ATLAS";"UN";11,82;12,00;0,00;141,84;0,00;0,00;0,00;0,00;0,00;9,93;0,00;141,84
"000001016746-NF-009";"00000008 - PINCEIS ATLAS S.A.";07/02/2026;"999999.22218";"ROLO VELUDO 9CM 329/9 ATLAS";"";"ATLAS";"UN";8,14;48,00;0,00;390,72;0,00;0,00;0,00;0,00;0,00;27,35;0,00;390,72
"000001016746-NF-009";"00000008 - PINCEIS ATLAS S.A.";07/02/2026;"030028.85044";"TRINCHA 319 1 1/2  PINTURA ESMALTE 319/4 ATLAS";"";"ATLAS";"UN";3,40;24,00;0,00;81,60;0,00;0,00;0,00;0,00;0,00;5,71;0,00;81,60
"000001016746-NF-009";"00000008 - PINCEIS ATLAS S.A.";07/02/2026;"030028.85047";"TRINCHA 319 3  PINTURA ESMALTE 319/7 ATLAS";"";"ATLAS";"UN";7,90;12,00;0,00;94,80;0,00;0,00;0,00;0,00;0,00;6,64;0,00;94,80
"000001016746-NF-009";"00000008 - PINCEIS ATLAS S.A.";07/02/2026;"030028.10114";"TRINCHA 395 1 1/2  PINTURA LATEX E ACRILICA 395/4 ATLAS";"";"ATLAS";"UN";2,91;168,00;0,00;488,88;0,00;0,00;0,00;0,00;0,00;34,22;0,00;488,88
"000001016746-NF-009";"00000008 - PINCEIS ATLAS S.A.";07/02/2026;"030028.10117";"TRINCHA 395 2 1/2  PINTURA LATEX E ACRILICA 395/6 ATLAS";"";"ATLAS";"UN";4,81;120,00;0,00;577,20;0,00;0,00;0,00;0,00;0,00;40,40;0,00;577,20
"000001016746-NF-009";"00000008 - PINCEIS ATLAS S.A.";07/02/2026;"030028.10118";"TRINCHA 395 2  PINTURA LATEX E ACRILICA 395/5 ATLAS";"";"ATLAS";"UN";3,70;60,00;0,00;222,00;0,00;0,00;0,00;0,00;0,00;15,54;0,00;222,00
