UNICA ATACADISTA DE TINTAS

FORNECEDORES - COMPLETO 31/08/2026 19:55

Cadastro Inicial : TODOS
Cadastro Final : TODOS
Atividade : TODOS
Material para Revenda : TODOS
Situação : ATIVOS
Ordenar por : CÓDIGO
Destino : CSV

CÓDIGO;NOME DO FORNECEDOR;ENDEREÇO;BAIRRO;CIDADE;UF;;C.E.P.;CAIXA POSTAL;C.P.F./C.N.P.J.;INSC. ESTADUAL;;CONTATO;DATA DE CADASTRO;TELEFONE;FAX
"00000076";"CELULOSA COM CONF ART PAPEL LTDA";"ADE QD 01 CONJUNTO B LOTE";"P SUL";"CEILANDIA";"DF";" ";"70000000";"";"04687077000132";"0742686500164";" ";"";13/06/2008;"61 33768416";""
"00000077";"DFL COMERCIO DE TINTAS E LICENCIAMENTOS LTDA EPP";"SOF SUL QUADRA 14 CONJ A LOTES 05/08 LJ";"SOF SUL";"GUARA";"DF";" ";"71215271";"";"07597580000519";"0747117700461";" ";"";12/06/2009;"61 32331803";""
"00000078";"WIMPEL EQUIPAMENTOS LTDA";"AV. MARIA LUIZA AMERICANO,";"CIDADE";"SÃO PAULO";"SP";" ";"08280190";"";"58426594000187";"111630483119";" ";"SIBELI/TARCISIO";02/08/2008;"11 20236299";""
"00000079";"VIDERA LTDA";"RUA SAO FELIPE 189/191/195";"PARQUE SAO JORGE";"SÃO PAULO";"SP";" ";"03085010";"";"09366214000150";"149991330112";" ";"";02/08/2008;"11 22966311";"11 22966286"
"00000080";"PALMA TECNOLOGIA E INFORMATICA LTDA";"SHC/CLSW 303-BLOCO C ENTRADA 18/20 LOJA 47 SUBSOLO";"SUDOESTE";"BRASILIA";"DF";" ";"70673623";"";"08385272000169";"0748090200100";" ";"";30/06/2009;"61 30338907";""
"00000081";"COMERCIAL DE TINTAS MR LTDA-EPP";"AREA ESPECIAL 1 QE 12 LOJA";"GUARA I";"BRASILIA";"DF";" ";"71010111";"";"02449013000178";"0738373900157";" ";"";19/06/2008;"61 35676834";""
"00000082";"TIM CELULAR S.A";"";"";"CIDADE CONVERSAO";"DF";" ";"";"";"";"";" ";"";10/12/2011;"";""
"00000083";"GERA-IND. E COMERCIO DE FERRAMENTAS LTDA-ME";"VIA VICENTE BARBOSA DA SILVA,";"DIST. IND. ADOLFO BALDAN";"MATÃO";"SP";" ";"15991400";"";"64498793000101";"441029512113";" ";"";04/08/2008;"16 33823164";"16 33843442"
"00000084";"RODAGEM TRANSPORTES DE CARGAS LTDA ME";"RUA CIRENE DE OLIVEIRA LAET";"VILA NILO";"JACANA";"SP";" ";"02279010";"";"09281153000200";"148379604118";" ";"";15/07/2009;"11 22404543";""
"00000085";"RG OSASCO TRANSPORTES RODOVIARIOS LTDA";"RUA MARTIN AFONSO,";"JARDIM PIRATINGA";"OSASCO";"SP";" ";"06233130";"";"02592421000184";"492350967113";" ";"";01/07/2009;"11 36878917";""
"00000086";"CASCOL COMBUSTIVEIS PARA VEICULOS LTDA";"SHCS SQ 303 BLOCO A S/N PLL";"ASA SUL";"BRASILIA";"DF";" ";"70336000";"";"00038463000495";"0733355600200";" ";"";02/07/2009;"61 32178585";""
"00000087";"JEFTE TRANSPORTADORA LTDA";"RUA OTAWA,Nº16 LOTE 2 PA";"VIGARIO GERAL";"RIO DE JANEIRO";"RJ";" ";"21241220";"";"04964686000191";"77468293";" ";"";02/07/2009;"21 34516857";""
"00000088";"PORTO RICO COMERCIO E DISTRIBUICAO LTDA-ME";"QNN 02-CONJ.A LOTE";"CEILANDIA";"CEILANDIA";"DF";" ";"72225160";"";"01239907000170";"0744031900140";" ";"";21/07/2009;"61 39659745";"61 39659742"
"00000089";"LOG EXPRESS TRANSPORTES LTDA";"RUA MANOEL SILVIO BANDEIRA DE MELO,";"VILA GUILHERME";"SÃO PAULO";"SP";" ";"02054040";"";"06995647000187";"116890794119";" ";"";02/07/2009;"11 29051961";""
"00000090";"SEM FURO TRANSPORTES LTDA";"RUA VENÂNCIO MARTINS Nº";"FREGUESIA DO O";"SÃO PAULO";"SP";" ";"02755050";"";"36761633000240";"113223973119";" ";"";02/07/2009;"61 33732277";"16133732723"
"00000091";"ROBERLO DO BRASIL LTDA";"RUA JOAO VITORINO,";"MAUA";"COLOMBO";"PR";" ";"83413680";"";"09562226000150";"9046643086";" ";"FELIX";27/07/2009;"54131398204";""
"00000092";"EURO TECHNIKER COM. IMP. E EXP. DE EQUIP. IND. LTD";"RUA BELÉM,";"FAZENDINHA";"SANTANA DE PARNAÍBA";"SP";" ";"06529190";"";"02867761000170";"623052448110";" ";"ANDRE";22/07/2009;"11 29354180";"11 39315325"
"00000093";"WHITE & RED FORMULARIOS E PAPEIS LTDA";"SHCGN CLR QD 714 BL C LJ";"ASA NORTE";"BRASILIA";"DF";" ";"70760553";"";"07631235000120";"0747097700186";" ";"";03/07/2009;"61 33470407";""
"00000094";"FM SERVICOS EM EQUIPAMENTOS DE ESCRITORIO LTDA";"ADE CONJUNTO 08 LOTE";"AGUAS CLARAS";"BRASILIA";"DF";" ";"72030979";"";"03324049000198";"0740017900178";" ";"";30/07/2009;"61 32019958";""
"00000095";"CTIS TECNOLOGIA S/A";"SGCV EPIA MÓDULO";"GUARA";"BRASILIA";"DF";" ";"71215100";"";"01644731000990";"0731737000770";" ";"";08/08/2009;"61 32189000";"61 32189025"
"00000096";"MATRIX LOGISTICA E SUPRIMENTO S.A.";"SIG/SUL QD06 N2040 PARTE A";"SETOR GRAFICO";"BRASILIA";"DF";" ";"70610460";"";"38007829000199";"0730610400165";" ";"";10/08/2009;"61 33413100";""
"00000097";"ATLAS TRANSPORTES E LOGISTICA DO BRASIL";"RUA FORMOSA 103-COND IND";"PORTAL DA SE";"PINHAIS";"PR";" ";"83325070";"";"60664828002896";"9030236510";" ";"";28/08/2009;"41 36019090";"41 36019090"
"00000098";"PAPELARIA ABC COMERCIO E INDUSTRIA LTDA";"SIG/SUL QUADRA 2 LOTE";"SETOR GRAFICO";"BRASILIA";"DF";" ";"70610400";"";"00540252000103";"0731427000160";" ";"";10/09/2009;"61 21031515";"61 21031517"
"00000099";"DFIX SOLUCOES AUTOMOTIVAS LTDA ME";"SRIA QI 10 BLOCO B LOTE";"GUARA I";"BRASILIA";"DF";" ";"71010627";"";"08989497000124";"0749111900198";" ";"";15/09/2009;"61 33818133";""
"00000100";"ADELBRAS IND. E COM. DE ADESIVOS LTDA";"RUA FRANCISCO FOGA,675 DISTR. IND.";"VINHEDO";"SÃO PAULO";"SP";" ";"13280000";"";"73077299000156";"714091339117";" ";"";21/09/2009;"19 40097711";""
"00000101";"TRANSREFER TRANSPORTE E LOGISTICA LTDA";"RUA FELIZARDO FORTES";"BAIRRO RAMOS";"RIO DE JANEIRO";"RJ";" ";"21031160";"";"19694199000476";"75849567";" ";"";09/10/2009;"21 38650091";""
"00000102";"APICE COMERCIO  DE EQUIPAMENTOS E UTILIDADE LTDA";"CSG 05 LT 06 GALPAO A";"TAGUATINGA SUL";"TAGUATINGA SUL";"DF";" ";"72035505";"";"11093816000123";"0752626900147";" ";"ISMAIL";28/10/2009;"61 33566690";""
"00000103";"R&K COMERCIO DE PRODUTOS DE LIMPEZA LTDA ME";"AC 319 CONJ.A LOTE 07 SALA B";"SANTA MARIA";"SANTA MARIA";"DF";" ";"72445060";"";"10372666000124";"0751053400169";" ";"ANA PAULA";07/12/2009;"61 30326811";""
"00000104";"GRAVIA INDUSTRIA DE PERFILADOS DE ACO LTDA";"TRECHO 2 LOTES 105/135";"SIA SUL";"BRASILIA";"DF";" ";"70000000";"";"26487744000338";"0731724800578";" ";"";09/01/2010;"61 34030444";""
"00000105";"PONTO MAXIMO PECAS E SERVICOS LTDA";"QD 03 CONJ A LOTE";"SOF SUL";"BRASILIA";"DF";" ";"71215226";"";"03885485000136";"0741140800150";" ";"";18/01/2010;"61 33618865";"61 33618267"
