Cód.Item;Descrição;Novo Código de fábrica;Novo Marca;Desc. Marca;Novo Fornecedor;Desc. Fornecedor;Novo Linha/Grupo;Desc. Linha/Grupo
86838;CR CORAL MASTER BASE T 3,2L;5902232;800073;CORAL;34;AKZO NOBEL LTDA;30006;BASES IMOBILIÁRIAS
86819;CR CORAL MASTER BRANCO 0,9L;5902212;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86821;CR CORAL MASTER BRANCO 18L;5902214;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86822;CR CORAL MASTER BRANCO BALDE 20L;5902215;800073;CORAL;534;AKZO NOBEL LTDA;30001;TINTA PAREDE
86823;CR CORAL MASTER BRANCO GELO 18L;5902216;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86826;CR CORAL MASTER BRANCO GELO 3,6L;5902220;800073;CORAL;534;AKZO NOBEL LTDA;30001;TINTA PAREDE
86820;CR CORAL MASTER BRANCO GL 3,6L;5902213;800073;CORAL;534;AKZO NOBEL LTDA;30001;TINTA PAREDE
86830;CR CORAL MASTER PALHA 18L;5902224;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86829;CR CORAL MASTER PALHA 3,6L;5902223;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86824;CR CORAL MASTER TUBARÃO BRANCO 18L;5902218;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86825;CR CORAL MASTER TUBARÃO BRANCO 3,6L;5902219;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86728;CR CORALAR ACR MAIS DES DIA NUBLADO 18L;5828229;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86729;CR CORALAR ACR MAIS DES DIA NUBLADO 3.6L;5828230;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86727;CR CORALAR ACR MAIS DES NE PAULISTA 18L;5828228;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86726;CR CORALAR ACR MAIS DES NE PAULISTA 3.6L;5828217;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
86730;CR CORALAR ACR MAIS DES PEDRA PREC 18L;5828231;800073;CORAL;34;AKZO NOBEL LTDA;30001;TINTA PAREDE
